word,frequency
indonesia,2312
cnn,1249
laut,1109
presiden,1041
rp,1021
orang,926
negara,918
israel,907
timnas,891
persen,883
pagar,852
menteri,820
pemerintah,813
jakarta,809
pemain,791
piala,753
warga,701
prabowo,690
tim,682
gambasvideo,670
masyarakat,596
senjata,579
menit,579
program,570
korban,564
gol,551
wilayah,544
gencatan,535
kementerian,526
terkait,525
rumah,521
gaza,507
pelatih,506
as,488
dunia,484
laga,480
langsung,473
salah,465
memiliki,462
kebakaran,460
liga,459
nasional,450
korea,445
hukum,444
poin,444
menyebut,442
kota,441
juta,434
januari,425
selatan,425
pertandingan,419
anggota,418
trump,418
minggu,413
pilihan,411
aff,406
ri,404
resmi,404
senin,404
kpk,397
negeri,391
kali,389
kerja,388
daerah,388
selasa,385
tangerang,380
red,379
ppn,378
kepala,377
pt,374
serangan,374
harga,371
dikutip,368
vietnam,368
sparks,367
makan,365
jumat,365
al,360
ketua,348
air,347
hamas,345
hasil,345
mencapai,339
desa,338
pesawat,336
palestina,331
vs,330
proses,330
rabu,325
yoon,324
jalan,323
kabupaten,322
berhasil,322
ribu,321
militer,320
pelaku,319
thailand,314
megawati,312
kamis,312
malaysia,308
suara,306
babak,306
kecamatan,306
desember,304
suriah,301
tersangka,300
gawang,298
anak,294
masuk,294
bola,292
kemenangan,291
jawa,291
los,289
posisi,288
pajak,287
ekonomi,283
dugaan,281
bidang,280
nomor,279
polisi,278
banjir,276
china,276
diduga,276
badan,274
sabtu,274
mengaku,273
amerika,273
malam,270
uang,270
mendukung,269
triliun,268
filipina,268
timur,264
pusat,263
ketiga,263
mengalami,263
bergizi,262
utara,262
angeles,259
kluivert,257
bermain,257
gratis,256
nelayan,254
kantor,253
utama,252
korupsi,251
keterangan,249
perusahaan,248
mobil,247
partai,247
dpr,244
surat,244
keuangan,243
nama,242
barat,242
media,242
pembangunan,241
laporan,238
lokasi,235
api,235
u,235
united,233
bantuan,233
total,232
upaya,232
pemerintahan,232
serikat,230
kkp,230
tewas,228
sisi,227
proyek,226
provinsi,226
misterius,226
menang,226
sandera,225
sesuai,224
darurat,224
rusia,224
wakil,221
pangan,221
subianto,221
pernyataan,219
anggaran,219
barang,218
hasto,218
khusus,217
pssi,216
kesepakatan,215
kenaikan,215
merah,214
menerima,213
mbg,213
lawan,209
shin,207
keluarga,207
perang,207
daftar,207
kondisi,207
jasa,206
kawasan,206
data,206
mantan,205
informasi,204
rencana,204
ya,204
voli,203
menghadapi,202
sistem,201
pdip,201
keamanan,200
minyak,199
melawan,199
polda,199
akibat,196
fase,195
singapura,195
berlaku,195
berjalan,194
jalur,193
keputusan,192
asia,192
agung,191
peluang,189
miliar,188
km,188
skor,188
grup,187
rapat,187
kendaraan,187
pertahanan,187
mencetak,186
kegiatan,186
langkah,185
pidana,184
perikanan,184
kelompok,183
kecelakaan,183
direktur,183
kebijakan,183
membawa,181
berdasarkan,180
pejabat,179
pemeriksaan,179
brics,179
komisi,176
ruang,176
meningkatkan,175
pasukan,175
meraih,174
sumber,173
sosial,172
lolos,172
tarif,172
pekan,171
hak,171
kelautan,171
jenderal,170
kalah,169
penuh,169
wib,168
stadion,168
investasi,168
kesempatan,167
internasional,167
juara,167
periode,167
final,166
daya,166
usaha,166
tni,166
tae,165
sang,165
musim,164
pertamina,163
sertifikat,163
erick,162
milik,162
korsel,161
hgb,160
meninggal,160
enam,160
tambahan,160
terlibat,160
unggul,159
penumpang,159
pertemuan,158
perdana,157
petugas,157
nilai,156
kesehatan,156
publik,156
menilai,155
sty,155
the,155
yong,155
pesisir,155
politik,153
perjalanan,153
dinas,152
ditemukan,152
kebutuhan,151
pasal,151
keras,151
metro,151
membantu,151
video,150
sektor,150
energi,150
berharap,150
turun,149
klub,149
pekerja,149
perempuan,149
rakyat,149
bertemu,149
target,148
alasan,148
gizi,148
umkm,147
pink,147
penyelidikan,147
sekolah,146
tampil,145
us,145
tembakan,145
titik,145
bicara,145
alias,144
gubernur,144
sakit,143
jam,141
pers,141
mengumumkan,141
saksi,140
calon,140
peringkat,139
pengadilan,139
penyidik,139
jabatan,138
tangan,137
banten,137
aksi,137
perkara,136
klasemen,136
lapangan,135
ditangkap,135
