dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15,dim_16,dim_17,dim_18,dim_19,dim_20,dim_21,dim_22,dim_23,dim_24,dim_25,dim_26,dim_27,dim_28,dim_29,dim_30,dim_31,dim_32,dim_33,dim_34,dim_35,dim_36,dim_37,dim_38,dim_39,dim_40,dim_41,dim_42,dim_43,dim_44,dim_45,dim_46,dim_47,dim_48,dim_49,dim_50,dim_51,dim_52,dim_53,dim_54,dim_55,dim_56,dim_57,dim_58,dim_59,dim_60,dim_61,dim_62,dim_63,dim_64,dim_65,dim_66,dim_67,dim_68,dim_69,dim_70,dim_71,dim_72,dim_73,dim_74,dim_75,dim_76,dim_77,dim_78,dim_79,dim_80,dim_81,dim_82,dim_83,dim_84,dim_85,dim_86,dim_87,dim_88,dim_89,dim_90,dim_91,dim_92,dim_93,dim_94,dim_95,dim_96,dim_97,dim_98,dim_99,dim_100,dim_101,dim_102,dim_103,dim_104,dim_105,dim_106,dim_107,dim_108,dim_109,dim_110,dim_111,dim_112,dim_113,dim_114,dim_115,dim_116,dim_117,dim_118,dim_119,dim_120,dim_121,dim_122,dim_123,dim_124,dim_125,dim_126,dim_127,dim_128,dim_129,dim_130,dim_131,dim_132,dim_133,dim_134,dim_135,dim_136,dim_137,dim_138,dim_139,dim_140,dim_141,dim_142,dim_143,dim_144,dim_145,dim_146,dim_147,dim_148,dim_149,dim_150,kategori
0.14444497,-0.12089718,-0.27632722,-0.17254378,-0.09392779,-0.48238772,0.078099795,0.28486997,0.11046519,0.2889062,-0.12571561,-0.08944731,-0.35322616,0.3060929,-0.43212754,0.010514334,0.075148575,-0.20701149,-0.0029962875,0.28978163,-0.2609876,-0.40095645,0.4025266,0.35729676,0.087321475,0.056146547,-0.23690349,-0.32978395,-0.1404943,-0.44686863,-0.12562826,-0.15984297,-0.018649638,-0.14901853,-0.1003918,0.113200925,0.5618891,0.14240919,0.122594595,-0.27962136,-0.14525042,0.03664772,-0.3844964,-0.35014796,0.3204383,0.047509175,0.124945424,-0.21554628,0.15194558,0.15726645,-0.10501398,0.11910889,-0.068983115,0.11347139,-0.200603,0.17613356,0.07331328,0.025540004,0.08666919,-0.13461657,0.35818836,-0.2400371,-0.27864414,0.056584034,0.17647162,-0.026020957,-0.01476404,-0.63890266,-0.4695832,-0.10968253,0.14783885,0.2342059,0.17777753,-0.453524,-0.25993538,0.16392969,-0.18491058,0.15455276,-0.2837876,0.424583,-0.083531134,-0.3571961,-0.092066266,0.4167438,-0.27335835,0.15229444,-0.21816804,-0.0029244698,0.32535258,-0.3271962,0.19466676,-0.5769529,-0.08344311,0.082045555,0.35357925,0.1223267,0.07368217,0.012676589,-0.0763503,0.21157068,0.1785851,0.15596607,0.3886438,-0.0484675,-0.5906236,-0.46686018,0.34761634,0.37120318,-0.6078401,-0.08715207,-0.1358918,0.07795685,0.1404072,-0.40983364,-0.41091254,0.2508627,0.005739491,-0.08280191,0.37006357,-0.4608744,-0.18387733,0.4203719,-0.013163323,-0.119094424,0.2464963,0.4852953,0.36015522,-0.13107802,0.0729362,0.32807133,0.2685964,0.072263956,0.043409057,-0.13043907,-0.0647776,0.24207063,-0.43031698,-0.36133984,-0.35764667,-0.079629146,0.13216099,0.23333998,0.3915347,0.20757473,0.46195206,0.06883873,-0.5132852,-0.21458426,0.14941315,-0.25434038,Jatim
0.28829098,-0.22440727,-0.3382132,-0.019822378,-0.013701455,-0.28244194,0.08607337,0.047138862,0.062089887,0.25461686,-0.2529661,-0.044992443,-0.3111248,0.32325923,-0.40004528,0.10261792,0.021861462,-0.25782537,0.06760416,0.28086302,-0.30971166,-0.32312188,0.35297146,0.28244692,0.079546265,0.08654711,-0.35649866,-0.35904688,-0.034207225,-0.36241707,-0.22841313,-0.07535235,0.16715798,-0.19708408,-0.15044314,0.20498455,0.4226365,0.118732594,0.15860417,-0.22104165,0.026741887,-0.025297929,-0.32974884,-0.32413217,0.2622505,-0.03792808,0.16339745,-0.17501582,0.04150666,0.19905485,-0.047249373,0.03944376,-0.031636156,-0.004065227,-0.36708045,0.029928388,-0.04340837,0.052272882,0.028921722,-0.25255468,0.29941896,-0.14685172,-0.32103536,0.09333346,0.23818474,-0.12909864,0.120877355,-0.81129164,-0.33337793,-0.2860152,0.22362031,0.21437606,0.07271329,-0.53082174,-0.4259636,0.16336673,-0.21399952,0.16138366,-0.16170074,0.49538097,0.025054736,-0.30401695,-0.3087516,0.19064796,-0.26339406,0.06256272,-0.17644842,0.07127219,0.1889687,-0.07853311,0.28579882,-0.52755624,-0.058778603,-0.06319078,0.30535954,0.025638714,-0.07436932,0.041530035,0.01991722,0.30302355,0.23510903,0.120249,0.39631373,0.07957652,-0.76111954,-0.38458842,0.34266478,0.54181385,-0.64174724,-0.10036892,-0.12293563,0.049977176,0.023150934,-0.3178902,-0.33150116,0.29455757,-0.015935525,-0.12384336,0.51012224,-0.3128078,-0.10598166,0.4850915,-0.00934593,-0.07916973,0.36770597,0.4880534,0.36144727,-0.020152064,0.011742713,0.32973334,0.06694017,0.0148378955,-0.0678187,-0.13191919,-0.102811776,0.22293088,-0.3998724,-0.2225472,-0.39298865,0.081460424,0.2558353,0.09232264,0.24028821,0.08281492,0.33192438,0.095530145,-0.38806093,-0.22716093,0.10028392,-0.20131968,Jatim
0.16014297,-0.16422088,-0.2198402,-0.14085568,-0.05093775,-0.50179493,0.10359869,0.14404431,-0.0019287048,0.30559242,-0.12698281,-0.0025675874,-0.43298125,0.26747733,-0.4896952,0.03558367,0.14710137,-0.23262571,0.047410946,0.21600458,-0.15077297,-0.33125597,0.34350967,0.40928978,0.2198392,0.011770484,-0.23385873,-0.47966146,-0.03578353,-0.5210376,-0.10014027,-0.10320155,0.023256248,-0.11425996,-0.19990559,0.09287941,0.39795694,0.1438209,0.04193134,-0.34571984,0.06289644,0.030302765,-0.22886594,-0.41480577,0.23706372,0.16013323,0.13454162,-0.1593837,0.07966462,0.08108886,-0.020802697,0.17875162,-0.12498974,0.071396306,-0.18720749,0.11750061,0.09432649,0.058747686,-0.046884574,-0.2271081,0.39588854,-0.19025551,-0.24630892,0.017107844,0.12129193,-0.17001791,-0.06670608,-0.7425698,-0.5538786,-0.2531448,0.10375158,0.19037987,0.14346243,-0.4417577,-0.2771138,0.028619163,-0.17171344,0.10919382,-0.28086042,0.5569786,-0.12047774,-0.29590467,-0.20183238,0.35718003,-0.25634706,0.18989204,-0.32889807,0.015546387,0.32508263,-0.25362495,0.18289416,-0.6996426,-0.122398205,0.10340987,0.28760388,0.19791748,0.080412455,0.054311525,-0.022139745,0.2979408,0.25844425,0.06771135,0.4011746,-1.9900344e-06,-0.7379367,-0.5075702,0.400793,0.36169967,-0.7579389,-0.13319989,0.017170347,0.073638976,0.11394546,-0.56122696,-0.34286484,0.2527749,0.014369708,-0.073586114,0.37603834,-0.5856583,-0.16085997,0.5396136,0.09917186,-0.024575742,0.19003047,0.54109603,0.28278843,-0.009687277,0.045008022,0.35209054,0.131649,0.06282206,-0.0507893,-0.24356288,-0.08277726,0.18836126,-0.3173148,-0.29283494,-0.26160574,-0.04018159,0.241021,0.27949336,0.3669568,0.25765657,0.4631682,-0.013500695,-0.57251763,-0.268641,0.2003777,-0.35512838,Jatim
0.300379,-0.23764248,-0.38071406,0.019592214,-0.0018933538,-0.18919155,0.030033585,0.11337295,0.1277581,0.19523591,-0.2442872,-0.06777813,-0.2237665,0.35105428,-0.25026336,0.13682786,-0.030908933,-0.1878248,0.03055832,0.310375,-0.33439565,-0.2872202,0.34903535,0.1811487,0.009410719,0.15408103,-0.38182947,-0.21090408,-0.08499269,-0.22602272,-0.26072845,-0.07305091,0.18962291,-0.21417598,-0.101379946,0.21781029,0.50784576,0.11895295,0.23882736,-0.16799891,-0.08256872,-0.061079975,-0.40929085,-0.21387865,0.29206756,-0.15222126,0.14818525,-0.18723679,0.068960615,0.25813076,-0.08416531,-0.0602995,0.025932692,-0.043674983,-0.3667579,0.064860456,-0.10514457,0.075825095,0.14827095,-0.1626227,0.25396666,-0.105077714,-0.3061966,0.14326425,0.2773847,-0.009395326,0.16826822,-0.7072403,-0.19696964,-0.18150248,0.30030236,0.19285665,0.09236534,-0.54113495,-0.42726743,0.2518795,-0.20308696,0.1541329,-0.124766946,0.3227382,0.12377866,-0.3132308,-0.29444656,0.18185776,-0.2017108,-0.030573169,-0.03988407,0.07020496,0.071971975,-0.09512461,0.32806683,-0.36426458,-0.019325124,-0.086321004,0.32955897,-0.06415074,-0.086017735,0.015703462,-0.011892329,0.21493107,0.17703897,0.17888013,0.37761787,0.09261744,-0.6206168,-0.29727474,0.30541128,0.5437005,-0.46396726,-0.082871474,-0.21540527,0.038645614,0.03175337,-0.17110841,-0.3498797,0.26404294,0.0075143543,-0.16939238,0.4231501,-0.12370718,-0.12888172,0.34433013,-0.102768995,-0.17382737,0.38446867,0.39898023,0.36766717,-0.0923039,0.0027526051,0.28185865,0.110874094,-0.0045588426,-0.03234714,-0.03909377,-0.086392105,0.24345672,-0.46090996,-0.18068495,-0.43073916,0.102179,0.22294219,-0.0010781229,0.17269588,0.06272628,0.29570657,0.18374984,-0.25596786,-0.19277342,0.06285578,-0.10617189,Jatim
0.23695792,-0.1910895,-0.35437056,-0.06547714,-0.040222645,-0.27087763,0.084090725,0.13925652,0.11469923,0.22841664,-0.2236494,-0.068757504,-0.27411497,0.29352522,-0.36393088,0.11040717,0.0021758385,-0.20591767,0.047674086,0.28322855,-0.3139632,-0.34245205,0.36723855,0.23703142,0.05746284,0.08923391,-0.31317517,-0.27043834,-0.075538196,-0.33309168,-0.23256747,-0.11126655,0.13188216,-0.17530452,-0.08643098,0.18380883,0.47114107,0.11099852,0.18156289,-0.19189414,-0.050279517,-0.011478961,-0.36626315,-0.2826185,0.2868691,-0.07411347,0.15881673,-0.18597175,0.0982901,0.21074581,-0.0639533,0.029922353,-0.013500002,0.04746173,-0.31993514,0.10054443,-0.03066714,0.045149673,0.0981423,-0.18581858,0.30288216,-0.15473303,-0.3261323,0.11491007,0.24232866,-0.0762278,0.11851008,-0.68182755,-0.301733,-0.18328479,0.21552601,0.21801402,0.07706573,-0.47239092,-0.37369117,0.1746123,-0.18313418,0.14917804,-0.18222971,0.39015368,0.034292527,-0.3184392,-0.25233147,0.24665049,-0.26612678,0.048672926,-0.11233403,0.06578757,0.19173162,-0.13657458,0.27228552,-0.45210248,-0.08802151,-0.015122584,0.3240876,0.03402262,-0.052692324,0.018031152,-0.008124187,0.23327844,0.17725739,0.15022588,0.3602844,0.028571576,-0.67563087,-0.3753912,0.30618545,0.47910038,-0.5660037,-0.077104606,-0.1599611,0.068592794,0.032411035,-0.2863171,-0.3547971,0.26036018,-0.034054376,-0.12377197,0.46452373,-0.27395922,-0.11698885,0.41141945,-0.047070473,-0.122876085,0.34152895,0.46854553,0.3514683,-0.07576745,0.03768317,0.2961964,0.1304231,0.0021739088,-0.039831165,-0.07674905,-0.105531394,0.24690227,-0.41256258,-0.25984514,-0.40030646,0.030273164,0.18648231,0.09633507,0.25138524,0.10972559,0.328654,0.10089279,-0.37347987,-0.21178977,0.08492116,-0.19427386,Jatim
0.32533425,-0.26345947,-0.43329695,-0.01783735,-0.004039932,-0.25523648,0.06260092,0.08956925,0.10830651,0.25171006,-0.28644517,-0.066754624,-0.2944944,0.37026292,-0.3633419,0.153623,-0.018184604,-0.23467305,0.062329315,0.34495863,-0.3599919,-0.35278362,0.40325364,0.24091856,0.05429238,0.11590636,-0.4080709,-0.31202924,-0.07535153,-0.32703203,-0.28413662,-0.0948738,0.20738764,-0.2338561,-0.12546909,0.24479216,0.5269183,0.13696179,0.23238002,-0.20969416,-0.042130727,-0.03653364,-0.42296916,-0.29185182,0.3186413,-0.118277095,0.16513273,-0.191193,0.08248532,0.262513,-0.07388706,-0.016591702,-0.003748881,-0.013682146,-0.39529628,0.071012914,-0.07334941,0.06994856,0.11607659,-0.22725913,0.31148815,-0.14165571,-0.35682154,0.15503033,0.30381128,-0.07338533,0.17588897,-0.8415695,-0.28706124,-0.25534678,0.29541337,0.22617674,0.08334136,-0.6037218,-0.47678447,0.22887054,-0.22726594,0.17578708,-0.15577662,0.441904,0.09069721,-0.33989275,-0.36368844,0.23131952,-0.27268195,0.016812662,-0.11237637,0.097732134,0.1553942,-0.095378816,0.35423636,-0.48729256,-0.05771163,-0.079185516,0.35541496,-0.014903215,-0.1005049,0.029354328,0.011880207,0.2683271,0.22712977,0.17898673,0.42637047,0.08478696,-0.77462184,-0.3850358,0.36486265,0.59952056,-0.6280174,-0.09350205,-0.19222663,0.050904352,0.032412946,-0.27766025,-0.38564253,0.29911107,-0.01463193,-0.16927537,0.5349817,-0.23035674,-0.13371833,0.45946074,-0.0641032,-0.14708585,0.42702538,0.4889698,0.41613528,-0.06763156,0.016747916,0.3446813,0.10084439,-0.0009746687,-0.06646178,-0.076235816,-0.114379555,0.27536175,-0.47862044,-0.23183951,-0.45930704,0.083872415,0.25775108,0.055528417,0.23025051,0.08351587,0.3385829,0.16568865,-0.35594383,-0.24394506,0.09152607,-0.17375152,Jatim
0.36774263,-0.24657811,-0.51970804,-0.027505795,-0.017522678,-0.09546592,0.1251475,0.076397456,0.20308468,0.21293934,-0.3560359,-0.10552717,-0.21496852,0.3156865,-0.38119048,0.20478575,-0.08400692,-0.24715596,0.09523938,0.34844512,-0.4703535,-0.3669959,0.42337593,0.14758614,-0.012497297,0.17108884,-0.42936435,-0.22864543,-0.06048032,-0.27902138,-0.4087015,-0.104092576,0.26838446,-0.22037426,-0.020549146,0.2718303,0.494048,0.08374827,0.2951516,-0.1197343,0.012591638,-0.06192529,-0.44773766,-0.26592386,0.31963134,-0.23483403,0.24269418,-0.19329093,0.10596192,0.33507472,-0.052618776,-0.06762142,0.06408647,0.029940875,-0.51314336,0.0756827,-0.14403987,0.062405553,0.15555851,-0.26761228,0.29328585,-0.11776321,-0.438802,0.21269457,0.3692504,-0.11104347,0.26089236,-0.78619134,-0.18286043,-0.23104286,0.29830322,0.27719915,-0.021572826,-0.53871965,-0.5449775,0.2411832,-0.21870302,0.17930412,-0.13607076,0.39886123,0.155541,-0.37078473,-0.41432068,0.14806895,-0.32129186,-0.06581347,0.017171258,0.1426703,0.09963647,0.0009951108,0.36916572,-0.37163165,-0.1269148,-0.08950392,0.37822446,-0.051402263,-0.18389703,0.0014786734,0.02336072,0.28128773,0.19230945,0.16516007,0.3791927,0.07740793,-0.8822733,-0.34006417,0.3074477,0.63765603,-0.615202,-0.070175864,-0.25457487,0.09328897,-0.072513,-0.1847917,-0.38190296,0.3021242,-0.097167656,-0.17692943,0.6530778,-0.13918081,-0.057527244,0.46143582,-0.100212775,-0.17677903,0.4894552,0.55376744,0.4195184,-0.039416842,0.02070941,0.29341263,0.076790884,-0.082236506,-0.104934625,-0.0025491607,-0.16953331,0.30297828,-0.5107047,-0.2419732,-0.5530939,0.1374924,0.19724564,-0.020102622,0.17109531,0.038679298,0.25872764,0.14344932,-0.29121965,-0.241764,0.0037735817,-0.16031298,Jatim
0.25000718,-0.20509708,-0.35666272,-0.04801068,-0.01974005,-0.25475824,0.076678954,0.0980004,0.09387876,0.22180632,-0.22218291,-0.042412043,-0.27892646,0.29833424,-0.34514448,0.12864463,0.0028815481,-0.21030019,0.05303657,0.2753842,-0.28975675,-0.30941623,0.35177892,0.22851533,0.06971058,0.088036835,-0.321489,-0.2943873,-0.054297626,-0.32290077,-0.22838706,-0.09635004,0.14828289,-0.1755763,-0.10401849,0.18464343,0.43708476,0.11414554,0.17298521,-0.18473086,-0.010602956,-0.021017259,-0.33300334,-0.27761856,0.2753256,-0.06447484,0.15107007,-0.16830184,0.07593322,0.21169421,-0.05554281,0.021236317,-0.014473968,0.020180844,-0.31847593,0.08339713,-0.03526167,0.06547688,0.07333664,-0.20425043,0.29530478,-0.12290465,-0.3075084,0.1260342,0.24679449,-0.09723332,0.12497714,-0.70289344,-0.29146957,-0.22456154,0.22605309,0.18885732,0.07129798,-0.48475134,-0.39706004,0.15848109,-0.19829044,0.14056168,-0.1665404,0.40409973,0.043279726,-0.2976587,-0.29430473,0.22811654,-0.24475423,0.038822994,-0.13328835,0.072935745,0.17114586,-0.11678309,0.28020194,-0.45419195,-0.073251605,-0.020447247,0.30955863,0.02700277,-0.06404535,0.015480762,0.0046286653,0.24642348,0.20005567,0.14467303,0.35378966,0.041612793,-0.6873093,-0.36289024,0.31722662,0.49064916,-0.5875131,-0.0843049,-0.14992315,0.054359164,0.015132888,-0.28452873,-0.3366722,0.2547328,-0.020235859,-0.12471393,0.45696896,-0.26460007,-0.11404221,0.40175295,-0.03262852,-0.113316365,0.3349661,0.4513097,0.35296878,-0.045098998,0.024545383,0.30172405,0.104557045,0.009176281,-0.053671826,-0.07657081,-0.10169051,0.22694045,-0.40710494,-0.22263174,-0.38563716,0.05016094,0.21612465,0.07806586,0.22301908,0.10767978,0.30906326,0.098303095,-0.353049,-0.22092034,0.09315894,-0.19971569,Jatim
0.2573383,-0.21775962,-0.33958802,-0.018358622,-0.011865326,-0.23486905,0.048395652,0.09973122,0.09219087,0.2118879,-0.21731482,-0.049072564,-0.2582173,0.31084508,-0.29706514,0.12105598,0.0006549921,-0.19715232,0.035384018,0.27605888,-0.28259537,-0.28824726,0.3318244,0.2122687,0.05940412,0.106097035,-0.33209136,-0.26815143,-0.061425667,-0.28059042,-0.21935593,-0.07560452,0.1521738,-0.18501762,-0.113416016,0.18229611,0.45020422,0.11843962,0.19033816,-0.18941909,-0.03636531,-0.03609919,-0.34744698,-0.25056517,0.2638982,-0.082312554,0.13884285,-0.16590111,0.067781,0.21313842,-0.06682804,-0.0027889537,-0.007753666,-0.008344133,-0.31486353,0.07343342,-0.059757806,0.06970357,0.08819688,-0.17882372,0.27041242,-0.11248295,-0.28415626,0.1157181,0.23978448,-0.05812554,0.122753024,-0.6906757,-0.25828895,-0.20349424,0.2446953,0.18173718,0.090321265,-0.500179,-0.39065808,0.18132892,-0.19038694,0.13651547,-0.14649858,0.36558825,0.06281873,-0.29280502,-0.2777668,0.21021174,-0.21224639,0.020458268,-0.10872869,0.06349361,0.12864842,-0.10910128,0.2870884,-0.42281553,-0.045457564,-0.039810482,0.30133197,-0.0037518006,-0.058246676,0.019418985,-0.0076789022,0.23076534,0.19283879,0.14525335,0.36408794,0.06521343,-0.6354989,-0.33195117,0.31411046,0.4860797,-0.52828515,-0.08799002,-0.15636931,0.044349577,0.03735033,-0.25055707,-0.3310141,0.25093454,0.00013577152,-0.14071415,0.41333932,-0.21916057,-0.12211393,0.37620234,-0.053564575,-0.1306441,0.33333823,0.41546375,0.34064946,-0.05837614,0.015065204,0.2896856,0.10237169,0.0080583505,-0.04145408,-0.07235068,-0.087452665,0.22139362,-0.40510094,-0.19702744,-0.3786903,0.07010407,0.21853866,0.058177132,0.20602755,0.09354608,0.30715728,0.12553997,-0.31041688,-0.20627305,0.08834106,-0.15819676,Jatim
0.12194326,-0.14527026,-0.25214168,-0.15995786,-0.073018506,-0.49909437,0.079814486,0.2717536,0.06297111,0.2843422,-0.101197466,-0.026408346,-0.40474764,0.2977717,-0.4283416,0.038191862,0.109428436,-0.19560988,0.013751868,0.25112396,-0.17909823,-0.3797419,0.38387296,0.37110415,0.16219649,0.031556148,-0.21639518,-0.37692663,-0.09975255,-0.47626147,-0.09870385,-0.14124335,-0.01941594,-0.13518341,-0.14745514,0.09092005,0.5060492,0.14663787,0.09168424,-0.31052518,-0.08439567,0.03757839,-0.31241164,-0.35506496,0.307214,0.09660036,0.12264991,-0.19411215,0.13034666,0.11810064,-0.07900896,0.15509683,-0.10997936,0.10517947,-0.15422922,0.18276455,0.093112774,0.054645333,0.047256164,-0.14654045,0.3841691,-0.20639634,-0.2514633,0.051407814,0.14445601,-0.08078407,-0.04219825,-0.6424361,-0.51392835,-0.15517475,0.14247015,0.19738291,0.17303613,-0.44674587,-0.24002095,0.09213184,-0.169057,0.117435694,-0.2941369,0.44314373,-0.09999939,-0.3308367,-0.1224696,0.43777934,-0.2528725,0.17038456,-0.26242477,-0.005332558,0.32754445,-0.32601088,0.19953081,-0.6256272,-0.10096964,0.12710051,0.32450873,0.1673894,0.09720978,0.016717788,-0.06041648,0.22753887,0.20095605,0.1329867,0.38425294,-0.041878607,-0.61706126,-0.5082086,0.37198278,0.35799354,-0.66675013,-0.11570902,-0.07969369,0.06972418,0.13264565,-0.483462,-0.3880754,0.24281658,0.009141959,-0.07504025,0.3280985,-0.5152244,-0.19454426,0.43721813,0.019483859,-0.095728815,0.2027235,0.49569774,0.32106704,-0.09851909,0.054405786,0.34258774,0.22009479,0.07821452,0.0112978,-0.17093113,-0.0646088,0.22687785,-0.38494936,-0.3431441,-0.29882976,-0.09433151,0.19262804,0.2589832,0.38265103,0.262623,0.4795996,0.036815405,-0.54489017,-0.24393581,0.19401115,-0.32161185,Jatim
