id_berita,kategori,judul,isi_berita,link
152149,Jatim,"Judi Sabung Ayam di Pamekasan Digerebek, 6 Orang Diamankan","PAMEKASAN, BANGSAONLINE.com- Satreskrim Polres Pamekasan menggerebek arena judi sabung ayam di Desa Blaban, Kecamatan Batumarmar, Selasa (9/9/2025). Dari penggerebekan tersebut, polisi berhasil mengamankan 12 orang. Kasi Humas Polres Pamekasan, AKP Jupriadi menyebutkan, dari 12 orang itu, yang terbukti melakukan perjudian sebanyak 6 orang.  ""Setelah dilakukan interogasi awal, enam orang di antaranya terbukti melakukan perjudian jenis sabung ayam dengan cara memasang uang taruhan saat ayam diadu. Sementara enam orang lainnya tidak terbukti ikut dalam permainan judi tersebut,"" terang Jupriadi, Rabu (10/9/2025). Adapun enam pelaku yang diduga melakukan perjudian yakni M (29) warga Desa Batu Bintang, H (36) warga Desa Tagangser Daja, MZ (41) warga Desa Blaban, J (48) warga Desa Batu Bintang, HF (43) warga Desa Kapong, serta A (60) warga Desa Batu Bintang, Kecamatan Batumarmar, Kabupaten Pamekasan.  Selain mengamankan para pelaku perjudian, polisi juga mengamankan sejumlah barang bukti berupa empat ekor ayam jago, 10 meter kain, satu buah gelanggang, satu buah jam dinding, serta uang tunai Rp2.284.000. (rif) ""Terhadap enam pelaku tersebut akan diproses hukum lebih lanjut. Mereka dijerat Pasal 303 ayat 1 ke-2, 3 KUHP dengan ancaman maksimal 10 tahun penjara,"" pungkasnya.",https://bangsaonline.com/berita/152149/judi-sabung-ayam-di-pamekasan-digerebek-6-orang-diamankan
152148,Jatim,Pemilik Ladang Ganja di Blitar Akui Jual Ganja Kering Rp5 Juta Perkilogram,"BLITAR, BANGSAONLINE.com- Pemilik ladang ganja, SA (38), warga Desa Krisik, Kecamatan Gandusari, Kabupaten Blitar, diamankan Polres Blitar Kota. Dalam pengakuannya, ia menanam hingga menjual ganja secara mandiri. Ladang ganja miliki SA itu diketahui oleh polisi, bermula salah satu perusuh di Polres Blitar Kota, positif menggunakan ganja. Selain itu, SA menanam ganja dengan berbagai ukuran. ""Tersangka membeli bibit ganja secara online, 2 tahun yang lalu. Kemudian menanam ganja itu di belakang rumahnya, di Desa Krisik Kecamatan Gandusari, Kabupaten Blitar,"" kata Kapolres Blitar Kota, AKBP Titus Yudho Uly, Rabu (10/9/2025).  Yudho menjelaskan, SA mengaku menjalankan sendiri adanya jaringan tertentu. SA menjual ganja, baik secara utuh berupa tanaman, maupun ganja kering siap pakai. Ganja tersebut, dijual oleh SA secara langsung di wilayah Blitar dan Malang. ""Beropasi sendirian, menanam dan menjual pohon ganja maupun siap pakai. Dijual di wilayah Blitar dan Malang. Mereka (jual beli) secara langsung,"" terangnya. Harga yang dijual pun bervariasi. Mulai dari harga Rp300 ribuan perpohon, hingga Rp5 juta per kilogram untuk ganja kering siap pakai.  ""Dijual sendiri, dengan harga Rp 300 ribu untuk pohon ganja dan Rp 5 juta per kilogram ganja kering,"" imbuhnya. Kapolres menyebut, pihaknya akan terus melakukan penyelidikan dan pengembangan terhadap keterangan SA. Termasuk asal mula pembelian bibit ganja tersebut. ""Untuk asal ganja dimungkinkan dari luar Jawa, tapi karena kontur wilayah Kecamatan Gandusari memang subur, pembudidayaan tanaman ganja ini dimungkinkan di bisa subur. Yang jelas kami terus melakukan penyelidikan terhadap kasus ini,"" pungkasnya. (rif)",https://bangsaonline.com/berita/152148/pemilik-ladang-ganja-di-blitar-akui-jual-ganja-kering-rp5-juta-perkilogram
152132,Jatim Metro,"Permudah Warga Urus Surat Secara Digital, Pemdes Banjarsari Luncurkan Aplikasi PAOD","SIDOARJO, BANGSAONLINE.com- Pemerintah Desa (Pemdes) Banjarsari, Kecamatan Buduran, melakukan terobosan dalam meningkatkan kualitas pelayanan publik dengan menerapkan sistem administrasi berbasis digital. Inovasi ini diwujudkan melalui aplikasi Pelayanan Administrasi Online Desa (PAOD) yang memungkinkan warga mengurus berbagai surat keterangan secara mudah, cepat, dan efisien. Kepala Desa Banjarsari, Muhammad Nidlomuddin, menyampaikan bahwa digitalisasi layanan desa merupakan bentuk komitmen dalam membangun pelayanan publik yang modern dan responsif terhadap tuntutan masyarakat.  “Bagaimanapun kita harus mengikuti perkembangan zaman dan tuntunan masyarakat, bahwa pelayanan itu setiap tahun harus lebih efisien, lebih mudah, lebih dekat dengan warga dan bisa diakses dengan cepat,” ujarnya saat pelatihan aplikasi PAOD di Kantor Desa Banjarsari, Selasa (9/9/2025) malam. Pelatihan tersebut diikuti oleh unsur Lembaga Desa seperti BPD, LPMD, dan PKK. Para peserta mendapatkan penjelasan mengenai cara kerja aplikasi PAOD, cara mengaksesnya, serta manfaat yang ditawarkan. Melalui aplikasi ini, warga tidak perlu lagi antre di kantor desa untuk mengurus surat keterangan. “Ini yang mau kita ubah. Jadi warga bisa mengurus surat yang dibutuhkan cukup melalui aplikasi di handphone masing-masing. Begitu selesai, surat bisa dicetak dan diambil tanpa menunggu lama,” kata Nidlom. Untuk mendukung implementasi aplikasi ini, Pemdes Banjarsari tengah menyiapkan sosialisasi berskala besar agar seluruh warga dapat memanfaatkannya. Bahkan, video tutorial juga sedang disiapkan untuk memudahkan pemahaman masyarakat.  “Harapannya warga bisa memanfaatkan pelayanan ini, yang lebih efisien, lebih mudah dan saya kira ini paling efektif dalam tanda kutip untuk memangkas birokrasi,” ucap Nidlom. Sementara itu, Ahmad Bagus Sadewa selaku inovator aplikasi PAOD menjelaskan bahwa aplikasi ini dapat diakses selama 24 jam melalui perangkat seluler. Selain memudahkan warga, aplikasi ini juga membantu Pemdes dalam pengarsipan dokumen. “Seringkali desa itu persoalan pengarsipannya lemah. Dengan adanya aplikasi ini maka sudah otomatis. Karena surat tercetak, disimpan, langsung masuk arsip. Sehingga penomoran register dan penyimpanan surat itu sudah tertata,” paparnya. Ia menambahkan, sistem database aplikasi ini terintegrasi dengan komputasi awan (cloud), sehingga tetap aman dan dapat diakses kembali meskipun terjadi kerusakan perangkat. Saat ini, aplikasi PAOD menyediakan 17 jenis layanan surat, mulai dari surat keterangan umum, domisili, usaha, dan lainnya. Terkait keamanan data, Bagus menegaskan bahwa hanya warga yang identitasnya telah tercatat dalam sistem yang dapat mengakses layanan. Hal ini dilakukan untuk menjaga privasi dan memastikan keabsahan dokumen yang diterbitkan. (sta/mar)",https://bangsaonline.com/berita/152132/permudah-warga-urus-surat-secara-digital-pemdes-banjarsari-luncurkan-aplikasi-paod
152118,Jatim Metro,"Fesyar 2025 Siap Digelar di Surabaya, Gubernur Khofifah Optimistis Jatim Jadi Pusat Ekonomi Syariah","SURABAYA, BANGSAONLINE.com- Gubernur Khofifah menyatakan optimisme tinggi terhadap penyelenggaraan Festival Ekonomi Syariah (Fesyar) 2025 yang akan digelar di Surabaya pada 12-15 September 2025. Ia meyakini, agenda tersebut akan menjadi motor penggerak akselerasi ekosistem ekonomi syariah, tidak hanya di Jawa Timur, tetapi juga secara nasional. “Kami menyambut optimis Fesyar ini dapat mengakselerasi pengembangan ekonomi syariah di Jawa Timur maupun Regional Jawa,” ujarnya saat menerima audiensi Kepala Perwakilan Bank Indonesia Jawa Timur, Ibrahim, di Gedung Negara Grahadi, Surabaya, Selasa (9/9/2025).  Fesyar 2025 mengusung tema 'Sinergi Ekonomi dan Keuangan Syariah Memperkuat Stabilitas dan Kemandirian Ekonomi Regional'. Menurut Khofifah, ajang ini bukan sekadar pameran, melainkan ruang kolaborasi strategis antar-stakeholder untuk memperluas pengembangan ekonomi syariah. “Fesyar ini gelaran event ekonomi dan keuangan syariah terbesar di Indonesia. Tingginya animo masyarakat pada keuangan syariah mendorong pengembangan ekonomi syariah di Indonesia,” tuturnya sembari menekankan pentingnya dukungan Bank Indonesia dalam memperkuat sinergi lintas sektor.   “Berkat dukungan Bank Indonesia, Fesyar bisa mendorong pengembangan ekonomi syariah di daerah. Ini juga bisa menjaring agen-agen potensial pengembangan ekonomi syariah ke depannya, serta memajukan Indonesia menjadi pusat industri halal dunia,” paparnya. Jawa Timur, lanjut Khofifah, memiliki modal kuat berupa infrastruktur halal dan keberadaan Kawasan Industri Halal yang berperan besar dalam mempercepat tumbuhnya ekosistem ekonomi syariah. “Insya Allah ini akan semakin memantapkan peran Jatim sebagai pusat ekonomi dan keuangan syariah di nasional,” pungkasnya. (dev/mar)",https://bangsaonline.com/berita/152118/fesyar-2025-siap-digelar-di-surabaya-gubernur-khofifah-optimistis-jatim-jadi-pusat-ekonomi-syariah
152142,Jatim Tengah,Wali Kota Kediri dan Staf Ahli Bidang Ekonomi Maritim Kemenko Pangan Tinjau Koperasi Merah Putih,"KOTA KEDIRI, BANGSAONLINE.com- Wali Kota Kediri, Vinanda Prameswati, bersama Staf Ahli Bidang Ekonomi Maritim Kemenko Bidang Pangan, Sugeng Santoso, melakukan peninjauan langsung ke dua Koperasi Kelurahan Merah Putih (KKMP) di Kelurahan Bandar Kidul dan Ngronggo, Rabu (10/09/2025). KKMP Ngronggo menjalankan berbagai unit usaha seperti UMKM, gerai sembako, event organizer, dan sanggar tari. Sementara KKMP Bandar Kidul fokus pada penjualan kebutuhan pokok dan menjadi pemasok bahan pangan untuk program Makan Bergizi Gratis (MBG) di SPPG Tamanan. Kunjungan ini bertujuan untuk memantau perkembangan koperasi serta memastikan program pemberdayaan ekonomi masyarakat melalui KKMP berjalan optimal dan memberikan dampak nyata bagi warga.  Selain itu, kunjungan ini dimaksudkan untuk menggali potensi dan tantangan yang dihadapi koperasi dalam meningkatkan kesejahteraan masyarakat di tingkat kelurahan. “Di Kota Kediri ada 46 Koperasi Kelurahan Merah Putih yang sudah berbadan hukum, namun baru 2 yang beroperasi. Harapannya, kunjungan ini bisa mendorong lebih banyak KKMP yang aktif dan benar-benar memberi manfaat bagi warga,” kata Wali Kota Kediri. Ia juga menyoroti 3 tantangan utama dalam pengembangan koperasi, yakni akses permodalan, keterhubungan dengan ekosistem bisnis nasional, dan peningkatan kapasitas manajemen. Vinanda menekankan pentingnya dukungan konkret dari BUMN, perbankan, dan regulator agar koperasi tidak sekadar bertahan, tetapi mampu tumbuh dan bersaing. Sementara itu, Ketua KKMP Bandar Kidul, Yanvi, menyampaikan apresiasi atas dukungan penuh dari Pemerintah Kota Kediri.  “Koperasi ini memang baru berjalan selama tiga minggu. Kami sangat berterima kasih kepada Mbak Wali yang telah memfasilitasi pendirian koperasi Merah Putih di seluruh Kota Kediri, termasuk memberikan akta notaris gratis, Nomor Induk Berusaha (NIB), serta berbagai kemudahan lainnya,” paparnya. Ia juga mengapresiasi pendampingan dari Dinas Koperasi UMTK dalam penyusunan administrasi koperasi. Menurut Yanvi, berdirinya koperasi ini berangkat dari keyakinan terhadap program pemerintah pusat. “Kami yakin, program Pak Prabowo ini sangat bagus. Kami berupaya mencari titik temu bagaimana koperasi ini bisa berdiri meskipun tanpa modal awal,” ucapnya. KKMP Bandar Kidul kini telah menjalin kerja sama dengan pelaku usaha lokal, Perum Bulog, dan Bank Mandiri. “Hasilnya semua pihak mendukung. Saat ini, jumlah anggota aktif kami sebanyak 23 orang. Untuk memasok bahan pokok menu MBG di SPPG Tamanan, KKMP Bandar Kidul melibatkan toko atau pelaku usaha lokal,” kata Yanvi. Sebelum peninjauan lapangan, dilakukan terlebih dahulu monitoring percepatan operasionalisasi KKMP Kota Kediri di Ruang Joyoboyo, Balai Kota Kediri. (uji/mar)",https://bangsaonline.com/berita/152142/wali-kota-kediri-dan-staf-ahli-bidang-ekonomi-maritim-kemenko-pangan-tinjau-koperasi-merah-putih
152128,Jatim Tengah,"Dukung Ketahanan Pangan Nasional, Imigrasi Kediri Tanam 200 Bibit Kelapa di Grogol","KEDIRI, BANGSAONLINE.com- Kantor Imigrasi Kelas II Non TPI Kediri melaksanakan kegiatan penanaman pohon kelapa di area persawahan Desa Grogol, Kecamatan Grogol, Rabu (10/9/2025). Kegiatan ini merupakan bagian dari gerakan nasional mendukung program Asta Cita Presiden Prabowo dalam memperkuat ketahanan pangan. Dalam kesempatan tersebut, Kepala Kantor Imigrasi Kediri, Antonius Frizky Saniscara Cahya Putra, menyerahkan sebanyak 200 bibit kelapa kepada Kepala Desa Grogol, Suparyono, untuk ditanam bersama kelompok tani di lahan desa dan wilayah sekitarnya. Antonius menjelaskan, kegiatan ini merupakan inisiasi Menteri Imigrasi dan Pemasyarakatan Republik Indonesia, Agus Andrianto, yang dilaksanakan serentak oleh jajaran imigrasi dan pemasyarakatan di seluruh Indonesia.  “Bahwa kegiatan ini tidak hanya menjadi simbol penghijauan, tetapi juga bentuk komitmen jajaran imigrasi untuk mendukung program pemerintah dalam meningkatkan kesejahteraan masyarakat melalui pemanfaatan hasil bumi,” ujarnya. Ia berharap bibit kelapa yang ditanam dapat tumbuh subur dan memberikan manfaat lingkungan serta menjadi warisan produktif bagi masyarakat Desa Grogol dan sekitarnya.  Sementara itu, Kepala Desa Grogol, Suparyono, menyambut baik kolaborasi ini sebagai wujud sinergi antara institusi pemerintah dan masyarakat dalam menjaga kelestarian lingkungan sekaligus memperkuat ketahanan pangan. “Penyerahan bibit ini diharapkan dapat memberikan manfaat jangka panjang bagi masyarakat, baik dari sisi ekonomi maupun lingkungan,” tuturnya. (uji/mar)",https://bangsaonline.com/berita/152128/dukung-ketahanan-pangan-nasional-imigrasi-kediri-tanam-200-bibit-kelapa-di-grogol
152087,Jatim Utara,"Bermekaran, Bunga Tabebuya Percantik Jalan Perkotaan di Bojonegoro","BOJONEGORO, BANGSAONLINE.com- Pohon tabebuya yang ditanam di sejumlah titik kawasan perkotaan Bojonegoro mulai bermekaran. Pemandangan tabebuya yang bermekaran warna-warni tersebut bisa ditemui di sepanjang Jalan Mastrip, Jalan Panglima Sudirman, hingga Jalan Diponegoro. Sebagian bermekaran, namun ada juga yang tidak tumbuh dengan baik. Tabebuya yang mati atau rusak bakal dilakukan penanaman ulang. Namun, penggantinya adalah pohon lain, yang menghasilkan banyak oksigen.  Hal ini disampaikan Kepala Bidang (Kabid) Persampahan dan Ruang Terbuka Hijau DLH Bojonegoro, Sholeh Fatoni. ""Kami terus melakukan penggantian terhadap pohon yang tidak tumbuh. Masih ada pohon pengganti, pule,"" katanya, Selasa (9/9/2024).  Dia menyampaikan, apabila tabebuya tidak tumbuh dengan baik, maka akan diganti dengan pohon jenis lain. Karena pohon tabebuya sendiri relatif kecil dalam menghasilkan oksigen. ""Secara penyediaan oksigen relatif kecil, kita jarang mengganti dengan tabebuya,"" kata Sholeh. Adapun jumlah pasti pohon tabebuya yang mati dan tidak tumbuh belum dihitung secara rinci. Namun, berdasarkan data dari Dinas Perumahan, Kawasan Permukiman, dan Cipta Karya (DPKPCK) Bojonegoro, total terdapat 3.971 pohon tabebuya dan pule yang tersebar di wilayah Kota Bojonegoro. (jku/rev)",https://bangsaonline.com/berita/152087/bermekaran-bunga-tabebuya-percantik-jalan-perkotaan-di-bojonegoro
152086,Jatim Utara,"Seleksi Sekda Bojonegoro Resmi Dibuka, ASN Berkesempatan Daftar","BOJONEGORO, BANGSAONLINE.com- Seleksi Jabatan Sekretaris Daerah (Sekda) Pemkab Bojonegoro resmi dibuka. Pendaftaran pengisian jabatan pimpinan tinggi pratama eselon IIa Sekda Bojonegoro itu sudah dibuka sejak awal September ini. ""Tepatnya, pendaftaran dibuka mulai Kamis (4/9) hingga Kamis (18/9) mendatang,"" kata Pelaksana Tugas (Plt) Kepala BKPP Bojonegoro, Achmad Gunawan. Dia menyampaikan, jabatan Sekda Bojonegoro terjadi kekosongan sejak September 2025. Semula Sekda Bojonegoro dijabat oleh Nurul Azizah sebagai pelaksana tugas (plt.). Namun Nurul mengundurkan diri lantaran yang bersangkutan maju sebagai calon wakil bupati di Pilkada 2024.  Pengumuman lelang jabatan strategis ini dapat dilihat melalui laman resmi Badan Kepegawaian, Pendidikan, dan Pelatihan (BKPP) Bojonegoro. Seleksi atau lelang jabatan tersebut tertuang dalam Pengumuman Nomor: 012/Pansel-JPTP-Sekda/BJN/2025, yang ditandatangani langsung oleh Ketua Pansel, Indah Wahyuni. ""Lelang jabatan untuk posisi sekda sudah dibuka. Pendaftaran kami buka selama 15 hari. Seluruh aparatur sipil negara (ASN) di lingkungan Pemerintah Provinsi Jawa Timur memiliki kesempatan untuk ikut serta,"" jelas Gunawan.  Gunawan mengatakan, setelah pendaftaran ditutup, panitia seleksi (pansel) akan melakukan seleksi administrasi dan penelusuran rekam jejak terhadap seluruh pelamar. Pemkab Bojonegoro memastikan proses lelang jabatan berjalan dengan profesional dan transparan. ""Hasil seleksi administrasi tersebut dijadwalkan diumumkan pada 22 September 2025,"" jelasnya. Untuk diketahui, setelah mundurnya Nurul Azizah, Djoko Lukito sebagai Plt Sekeda dan pada Maret 2025 digantikan oleh Andik Sudjarwo yang sebelumnya menjabat Asisten Setda. (jku/rev)",https://bangsaonline.com/berita/152086/seleksi-sekda-bojonegoro-resmi-dibuka-asn-berkesempatan-daftar
152131,Jatim Selatan,Dinding Penahan Jalan Sidoutomo-Jatirejoyoso Rampung,"MALANG, BANGSAONLINE.com- Pekerjaan pembangunan dinding penahan di ruas Jalan Sidoutomo–Jatirejoyoso, Kecamatan Kepanjen, Kabupaten Malang, telah rampung 100 persen. Proyek yang digarap Dinas PU Bina Marga ini menjadi solusi atas ancaman erosi dan longsoran kecil yang sempat membuat warga resah saat melintasi jalur penghubung penting tersebut. Kondisi awal jalan cukup memprihatinkan. Struktur tanah di beberapa titik mulai terkikis dan menunjukkan tanda-tanda longsor.  Apabila tidak segera ditangani, kerusakan bisa meluas dan membahayakan keselamatan pengguna jalan serta mengganggu mobilitas warga. Untuk mengatasi hal tersebut, pembangunan dinding penahan dilakukan di Desa Jatirejoyoso menggunakan metode pasangan batu yang diperkuat dengan pondasi Strauss dan rangka penopang. Metode ini dipilih karena dinilai paling efektif dalam menahan tekanan tanah di lokasi rawan pergeseran. Konstruksi dibagi dalam tiga segmen dengan total panjang hampir 50 meter. Segmen pertama sepanjang 9 meter dengan tinggi 4 meter, segmen kedua sepanjang 20 meter dengan tinggi 3,5 meter, dan segmen ketiga sepanjang 20 meter dengan tinggi 2 meter. Kepala Dinas PU Bina Marga Kabupaten Malang, Khairul Isnaidi Kusuma atau yang akrab disapa Oong, menyampaikan bahwa proyek telah selesai sepenuhnya. “Dengan adanya dinding penahan ini, pengguna jalan bisa merasa lebih aman. Infrastruktur yang kokoh bukan hanya soal bangunan fisik, tapi juga soal rasa tenang masyarakat saat melintas,” ujarnya.  Selain meningkatkan keamanan, ia menyebut pembangunan ini juga menjadi investasi jangka panjang. Infrastruktur yang kuat mampu mengurangi kebutuhan perbaikan darurat yang selama ini menyita anggaran dan waktu. “Dampaknya bisa langsung dirasakan: arus lalu lintas lebih lancar, aktivitas ekonomi warga lebih terjamin, dan jalur strategis ini bisa bertahan lebih lama,” imbuhnya. Penanganan di Jatirejoyoso dirancang dengan pendekatan teknokratik berbasis data teknis, survei lapangan, dan analisis risiko. Proyek ini bukan sekadar tambal sulam, melainkan solusi berkelanjutan yang mempertimbangkan keselamatan dan efisiensi. Meski proyek telah rampung, pengawasan rutin terhadap kondisi jalan, drainase, dan lingkungan sekitar tetap diperlukan, terutama saat musim hujan. “Dinding penahan boleh saja berdiri kokoh, tapi alam kerap punya cara menguji daya tahan,” kata Oong. Kini, Jalan Sidoutomo–Jatirejoyoso kembali berfungsi optimal tanpa bayang-bayang longsor. Warga pun dapat melintas dengan rasa aman, seolah tanah yang sempat goyah kini dipeluk oleh dinding kokoh yang memberi ruang bagi kehidupan untuk terus bergerak maju. (dad/mar)",https://bangsaonline.com/berita/152131/dinding-penahan-jalan-sidoutomo-jatirejoyoso-rampung
152130,Jatim Selatan,"Perkuat Sinergi Optimalisasi PAD, Pemkot Luncuran aplikasi SIP_Mobile SA","KOTA BATU,BANGSAONLINE.com-Pemerintah Kota Batu terus berupaya untuk memperkuat sinergi dengan berbagai pemangku kepentingan dalam rangka optimalisasi Pendapatan Asli Daerah (PAD). Langkah ini diwujudkan melalui kegiatan Penguatan Stakeholder Pajak Daerah sekaligus peluncuran aplikasi SIP_Mobile SAE oleh Wali Kota Batu, Nurochman, yang berlangsung di Zam Zam Hotel, Kota Batu, pada Rabu (10/9/2025). Dalam sambutannya, Wali Kota Nurochman memberikan apresiasi yang tinggi terhadap kontribusi para pelaku usaha, stakeholder, serta masyarakat yang berperan penting dalam membawa kemajuan bagi Kota Batu. Mulai dari status kecamatan hingga menjadi kota definitif.  “Peningkatan PAD bukanlah suatu hal yang bisa dicapai sendiri, melainkan merupakan hasil dari hubungan yang baik antara pemerintah dan seluruh stakeholder,” ungkap Nurochman. Wali Kota juga menekankan pentingnya dukungan pemerintah dalam menciptakan iklim usaha yang sehat. ""Pemerintah harus memulai dengan memberikan pendampingan, kepastian perizinan, serta kemudahan layanan,"" kata Nurochman. Ia menegaskan bahwa komitmen pemerintah tidak hanya sebatas melakukan intervensi, tetapi juga memastikan kontribusi yang nyata bagi masyarakat, terutama dalam bentuk pembangunan dan peluang kerja.  Peluncuran aplikasi SIP_Mobile SAE, kata dia,  diharapkan dapat memudahkan masyarakat dan pelaku usaha dalam mengakses informasi terkait pajak daerah serta berbagai layanan dari pemerintah. Aplikasi ini menjadi salah satu upaya inovatif dalam memfasilitasi komunikasi dan kolaborasi antara pemerintah dan masyarakat, sehingga transparansi dan akuntabilitas dalam pengelolaan PAD semakin meningkat. Kepala Badan Perencanaan Pembangunan Daerah (Bappenda) Kota Batu M Nur Adhiem, menyampaikan capaian pembangunan yang tidak terlepas dari kontribusi wajib pajak. Beberapa indikator strategis menunjukkan tren positif, antara lain penurunan angka kemiskinan menjadi 3,06% (2024), peningkatan IPM sebesar 79,69 (2024), serta penurunan Tingkat Pengangguran Terbuka menjadi 3,60% (2024). Selain itu, Kota Batu mampu menjaga gini ratio di angka 0,33 dan mencatat laju pertumbuhan ekonomi sebesar 5,04%. (adi/van)",https://bangsaonline.com/berita/152130/perkuat-sinergi-optimalisasi-pad-pemkot-luncuran-aplikasi-sip_mobile-sa
