nama_fakultas,id_prodi,nama_prodi,judul,penulis,pembimbing_pertama,pembimbing_kedua,abstrak,abstrak_inggris
Hukum,1,Ilmu Hukum,Implementasi Fungsi Legislasi Dewan Perwakilan Rakyat Daerah Kabupaten Bangkalan Periode 2009-2014 Dalam Pembentukan Peraturan Daerah,Dyah Ayu Citra Seza,"Yudi Widagdo Harimurti, SH., MH","Safi', SH., MH","ABSTRAK Implementasi Fungsi Legislasi DPRD Kabupaten Bangkalan Periode 2009-2014 Dalam Pembentukan Peraturan Daerah menurut ketentuan Undang-Undang Dasar Negara Republik Indonesia Tahun 1945 maupun Undang-Undang Republik Indonesia Nomor 12 Tahun 2011 Tentang Pembentukan Peraturan Perundang-undangan dan Undang-Undang Republik Indonesia Nomor 32 Tahun 2004 Tentang Pemerintahan Daerah menentukan bahwa fungsi legislasi berada ditangan DPRD. Fungsi Legislasi yang dimiliki oleh DPRD merupakan fungsi pembentukan peraturan daerah (perda). Begitupula dengan DPRD Kabupaten Bangkalan yang memiliki fungsi legislasi tersebut dalam pembuatan peraturan daerah. Metode penelitian yang digunakan adalah yuridis normatif. Pendekatan masalah menggunakan pendekatan perundang-undangan (statute approach). Hasil penelitian ini menunjukkan bahwa dalam pelaksanaan fungsi legislasi DPRD Kabupaten Bangkalan dalam pembentukan peraturan daerah melalui beberapa tahapan yaitu melalui penyusunan program legislasi daerah (prolegda) dalam perencanaan penyusunan peraturan daerah sampai dengan proses sosialisasi rancangan peraturan daerah tersebut. Permasalahan atau kendala yang dihadapi DPRD Kabupaten Bangkalan dalam pembentukan peraturan daerah adalah masih minimnya sumber daya manusia yang memadai, adanya perbedaan cara pandang dari tiap anggota legislatif, adanya latar belakang partai politik yang mendominasi, kurangnya komunikasi politik antara pihak legislatif dalam hal ini DPRD Kabupaten Bangkalan sebagai lembaga legislatif dengan masyarakat tersebut serta tidak adanya kesepakatan antara pihak eksekutif (kepala daerah) dengan masyarakat terkait penyusunan rancangan peraturan daerah. Upaya yang dilakukan adalah kepala daerah dan DPRD harus bekerja sama demi kesejahteraan warga masyarakatnya dan kaitannya dengan pembentukan peraturan daerah DPRD tidak hanya kepala daerah saja yang dimintai pendapat tetapi masyarakat juga ikut dimintai pendapatnya. Pemerintah dan DPRD harus mendengar aspirasi dari warga masyarakatnya sehingga ada dengar pendapat antara pemerintah, DPRD dan warga masyarakat tentang peraturan yang dibuat.","ABSTRACT Implementation of Legislation Parliament function Bangkalan period 2009-2014 in accordance with local regulation Formation of the Constitution of the Republic of Indonesia Year 1945 and Law of the Republic of Indonesia Number 12 Year 2011 On Establishment of Legislation and Law of the Republic of Indonesia Number 32 Year 2004 on Regional Government determines that a legislative function in the hands of Parliament. Legislation functions held by Parliament is a function of the establishment of local regulations (regulations). Neither the Parliament Bangkalan having a legislative function is the creation of local regulations. The research method used is normative. Approach to the problem using this approach legislation (statute approach). The results of this study indicate that the implementation of the legislative functions of Parliament Bangkalan in the formation of local regulations through several stages of drafting program through local legislation (prolegda) preparation of local planning regulations to disseminate the draft local regulation. Problems or obstacles encountered in the formation of Parliament Bangkalan local regulation is still lack of adequate human resources, the different perspectives of each member of the legislature, Problems or obstacles encountered in the formation of Parliament Bangkalan local regulation is still lack of adequate human resources, the different perspectives of each member of the legislature, the background of the dominant political party, the lack of communication between the legislative politics in this Parliament as the legislature Bangkalan with the community and the lack of agreement between the executive (head area) with the drafting relevant regulations. Effort is the head area and Parliament should work together for the welfare of their peoples and local regulations related to the establishment of parliament is not only the head area are consulted but society also consulted. The government and parliament must hear the aspirations of their peoples so that no hearing between the government, Parliament and the community on the rules made."
Hukum,1,Ilmu Hukum,Tinjauan Yuridis Terhadap Persidangan In Absentia Dalam Perkara Bantuan Likuiditas Bank Indonesia (BLBI) Tentang Tindak Pidana Korupsi Bank Surya,Lukman Hakim,"Tolib Effendi. SH., MH","Ahmad Agus Ramdlany. SH., MH","ABSTRAK Hakim, Lukman. 2013.Tinjauan Yuridis terhadap persidangan in absentia dalam perkara bantuan Likuiditas bank indonesia (BLBI) tentang tindak pidana korupsi bank surya. Fakultas hukum universitas Trunojoyo madura. Dosen Pembimbing I Tolib Effendi, SH. MH, dan Dosen Pembimbing II Ahmad Agus Ramdlany, SH. MH. Aspirasi masyarakat untuk usaha-usaha pemberantasan tindak pidana korupsi telah mendapatkan tanggapan serius dari pemerintah, yaitu dibentuknya Undang-Undang No. 31 Tahun 1999 yang telah direvisi dengan Undang-Undang No. 20 Tahun 2001. Undang-undang ini dimaksudkan untuk mengganti Undang-undang No. 3 Tahun 1971 tentang Undang-undang pemberantasan tindak pidana korupsi, yang sudah tidak sesuai dengan perkembangan masyarakat yang makin komplek. Undang-undang baru tersebut diharapkan dapat lebih efektif memberantas bentuk-bentuk korupsi yang makin canggih, yang merugikan keuangan dan perekonomian negara, serta kepentingan masyarakat. Usaha pemberantasan tindak pidana korupsi memerlukan terobosan baru, yang mampu menembus halangan konspirasi korupsi dalam pemerintahan. KUHP dan KUHAP dengan pengecualian, diharapkan mampu mengatasi permasalahan yang berhubungan dengan tindak pidana korupsi, misalnya ketentuan-ketentuan khusus mengenai keberadaan terdakwa. Kehadiran terdakwa dari awal persidangan sampai dibacakannya putusan pengadilan sangat dibutuhkan. Dengan kehadirannya, terdakwa bisa menyaksikan persidangan dan melakukan pembelaan atas dakwaan terhadap dirinya. Untuk mengetahui keefektifan undang-undang tersebut, peradilan In Absentia sangat diperlukan. Sementara KUHAP tidak secara jelas mencantumkan, namun secara kias tercantum pada Pasal 64, Pasal 196, dan Pasal 214 KUHAP. Kata Kunci: Peradilan In Absentia, Tindak Pidana Korupsi, KUHAP, KUHP, UU Tipikor","SUMMARY Hakim, Lukman. 2013. Evaluation of Yuridis to conference of in absentia in case of Bank Indonesia Bank Liquidity Fund (BLBI) about Doing Corruption Of Surya Bank. Faculty of law of University of Trunojoyo Madura. 1st Counsellor is Tolib Effendi, SH. MH, and 2nd Counsellor is Ahmad Agus Ramdlany, SH. MH. Society aspiration to the effort eradication of corruption have got serious response of government, that is formed Act No. 31 at 1999 which have been revised with Act No. 20 at 2001. This Act is meant to change Act No. 3 at 1971 about Corruption Eradication Act, which have not suitable to the society development which more and more complex. The new Act expected to be more effective to eradicate corruption at anyforms which more and more sophisticatedly, which inflict a financial and economics loss of state, and also importance of society. The effort eradication of corruption doing need new breakthrough, capable to penetrate barrier of corruption conspiracy in governance. KUHP and KUHAP only that, expected can overcome problems related to corruption doing, such as special rules about attendance of the accused. Attendance of the accused from the beginning conference to reading off of justice decision is very required. So, the accused can witness conference and do defence of assertion to x'self. To know effectiveness of Act, jurisdiction of In Absentia is very needed. Whereas KUHAP do not clearly mention, but figuratively contained at Section 64, Section 196, and Section 214 KUHAP. Keyword : Jurisdiction Of In Absentia, Doing Corruption, KUHP, KUHAP, Corruption Eradication Act"
Hukum,1,Ilmu Hukum,Kajian Yuridis dan Relevansi SK Kemenkum HAM Nomor M.HH-07.PK.01.05.04 tahun 2011 (pengetatan remisi terhadap koruptor),lailatul qomariyah,"Dr. Eny Suastuti, SH.,MHum","Ahmad Agus Ramdlany, SH.,MH","Untuk mewujudkan masyarakat Indonesia yang sejahtera, adil dan makmur yang merata materiil dan spiritual berdasarkan Pancasila dan Undang-undang Dasar 1945, maka kualitas sumber daya manusia Indonesia sebagai salah satu modal Pembangunan nasional perlu ditingkatkan secara terus menerus termasuk derajat kesehatannya. Tindak pidana korupsi merupakan tindak kejahatan yang saat ini mengalami peningkatan dalam setiap tahunnya. Koruptor akan tetap mendapatkan hak-haknya selama menjalani masa pidana di dalam lembaga pemasyarakatan khususnya hak mendapatkan pengurangan masa pidana atau remisi. Pemberian remisi terhadap narapidana koruptor merupakan salah satu hak yang dimiliki oleh setiap nara pidana. Metode penelitian yang digunakan adalah metode penelitian hukum normative dengan menggunakan data, buku, undang-undang, article, dan sebagainya. Penelitian ini dilakukan untuk mengetahui pemberian remisi terhadap pelaku koruptor. Hasil penelitian ini menunjukkan bahwa pemberian remisi bagi nara pidana koruptor telah sesuai dengan peraturan dan tata cara dalam Undang-undang nomor 12 Tahun 1995 Tentang Pemasyarakatan, Peraturan Pemerintah Nomor 32 Tahun 1999 Tentang Syarat dan Tata Cara Pelaksanaan Hak warga Binaan, Peraturan pemerintah Nomor 28 Tahun 2006 Tentang Perubahan atas Peraturan Pemerintah Nomor 32 Tahun 1999 Tentang Syarat dan Tata Cara Pelaksanaan Hak warga Binaan Pemasyarakatan, Peraturan Pemerintah Nomor 99 Tahun 2012 Tentang Perubahan Kedua atas Perubahan Peraturan Pemerintah Nomor 32 Tahun 1999 Tentang Syarat dan Tata Cara Pelaksanaan Hak warga Binaan Pemasyarakatan.","To realize a prosperous Indonesia society, fair and equitable prosperous materially and spiritually based on Pancasila and the 1945 Constitution, the quality of human resources in Indonesia as one of the capital's National Development needs to be enhanced continuously include the degree of health. Criminal acts of corruption constitute crimes which are currently experiencing an increase in every year. Corruptor will still get his rights during her criminal past in correctional institutions, especially the right to get a reduction in the criminal or remission. The granting of remission to prisoners corruptor is one of the rights possessed by every nara criminal. Research methods used are normative legal research methods using data, books, law, article, etc. This research was conducted to find out the granting of remission to the perpetrators of the corruptor. The results of this research show that the granting of remission for criminal corruptor has been in accordance with the rules and regulations in Act No. 12 of 1995 Concerning Corrections, Government Regulation No. 32 of 1999 regarding the terms and procedures for the implementation of the rights of residents of the building, Government Regulation No. 28 in 2006 about a change of Government Regulation No. 32 of 1999 regarding the terms and procedures for the implementation of the rights of the citizens in our CorrectionalGovernment Regulation Number 97, the year 2012 About the second amendment for change of Government Regulation No. 32 of 1999 regarding the terms and procedures for the implementation of the rights of the citizens in our Prisons."
Hukum,1,Ilmu Hukum,PENEGAKAN HUKUM TERHADAP KERUSAKAN LINGKUNGAN HIDUP AKIBAT PENAMBANGAN BATU KAPUR DI DESA JADDIH TIMUR KECAMATAN SOCAH KABUPATEN BANGKALAN,Imam Syafi'i,"Dr. Wartiningsih,SH.,M.Hum.","Gatoet Poernomo,SH.,M.Hum",,
Hukum,1,Ilmu Hukum,PERLINDUNGAN HUKUM TERHADAP ANAK TERLANTAR AKIBAT MELARIKAN DIRI DARI PONDOK PESANTREN,ANDI KURNIAWAN,"AZIZAH. SH.,MHum","Dr. Hj DJULAEKA. SH.,MHum","ABSTRAK Anak adalah tunas, potensi, dan generasi muda penerus cita-cita perjuangan bangsa, memiliki peran strategis dan mempunyai ciri dan sifat khusus yang menjamin kelangsungan eksistensi bangsa dan negara pada masa depan sebagaimana Konsideran Bagian Menimbang Undang-Undang Republik Indonesia Nomor 23 Tahun 2002 tentang Perlindungan Anak. Anak mempunyai hak asasi manusia yang wajib dijamin, dilindungi, dan dipenuhi oleh orang tua, keluarga, masyarakat, pemerintah, dan Negara termasuk hak mendapatkan pendidikan dan pengajaran dalam rangka pengembangan pribadinya dan tingkat kecerdasannya sesuai dengan minat dan bakatnya. Skripsi ini memfokuskan pada pembahasan perlindungan hukum terhadap anak terlantar yang melarikan diri dari pesantren. Jenis penelitian ini adalah yuridis normatif, yaitu penelitian dengan pendekatan undang-undang (statute approach) Hasil penelitian ini pertama, bahwa perlindungan yang diberikan oleh UU No. 23 Th. 2002 bagi anak anak terlantar pertama-tama dalam bidang pengasuhan terhadap anak hak asuh ada di tangan orang tua, wali atau pihak lain agar anak tidak terlantar sesuai dengan pasal 13 ayat (1) UU No. 23 Th. 2002. Pondok Pesantren yang diserahi oleh orang tua untuk mengasuh anak agar dididik bidang ilmu keagamaan dan ilmu umum dalam mengasuh anak didik tersebut tidak diperkenankan untuk menelantarkan anak didiknya dan wajib untuk memberikan perlindungan terhadap anak didiknya tersebut. Kedua, Pondok Pesantren dapat dimintakan pertanggungjawaban pidana atas dasar telah melakukan penelantaran anak sebagaimana pasal 77 ayat (2) UU No. 23 Th. 2002 dengan diberi sanksi dipidana dengan pidana penjara paling lama 5 (lima) tahun dan/atau denda paling banyak Rp 100.000.000,00 (seratus juta rupiah).","ABSTRACT Children are budding, potential, and the younger generation successor to the ideals of the struggle of the nation, has a strategic role and has the characteristics and special properties that ensure the continued existence of the nation and the state in the future as preamble Considering The Law of the Republic of Indonesia Number 23 of 2002 on the Protection of child. Children have human rights that must be guaranteed, protected, and fulfilled by the parents, families, communities, governments, and countries including the right to education and teaching in order to develop personal and intellectual capacity in accordance with the interests and talents. This thesis focuses on the discussion of the legal protection of abandoned children who run away from boarding school. This research is normative, ie research approach law (statute approach) the first results of this study, that the protection provided by the Law no. 23 Th. 2002 for both children abandoned children is first in the field of care for child custody is in the hands of a parent, guardian or other party so that children are not abandoned in accordance with article 13 paragraph (1) of Law no. 23 Th. , 2002. Boarding Schools are entrusted by parents to nurture children to be educated religious sciences and general sciences in parenting students are not allowed to abandon his protégé and obliged to provide protection against the protege. Second, Boarding Schools should be accountable on the basis of criminal neglect of the child has done as Article 77 paragraph (2) of Law no. 23 Th. 2002 with sanctioned shall be punished with imprisonment of 5 (five) years and / or a maximum fine of Rp 100,000,000.00 (one hundred million rupiah)."
Hukum,1,Ilmu Hukum,kewenangan bank indonesia dalam menangani bank gagal,Fristy Ninda Yuriza,"Azizah, SH.,MHum","Dr. Murni, SH.,MHum","ABSTRAK Menurut Undang-Undang Nomor 10 Tahun 1998 Tentang Perbankan, bahwa bank merupakan badan usaha yang menghimpun dana dari masyarakat dalam bentuk simpanan dan menyalurkannya pada masyarakat dalam bentuk kredit dan atau bentuk-bentuk lainnya dalam rangka meningkatkan taraf hidup rakyat banyak. Keberadaan bank akan sangat bergantung pada adanya dana masyarakat karena dana tersebut merupakan dana utama. Oleh karena itu, bank wajib menjaga kesehatannya dengan menggunakan prinsip kehati-hatian. Apabila bank mengalami kegagalan, maka secara yuridis Bank Indonesia memiliki suatu legitimasi untuk mengambil tindakan-tindakan guna mengembalikan bank pada kondisi yang lebih baik. Bank Indonesia perlu melakukan tindak lanjut dalam menangani bank gagal, sejauh mana kewenangan Bank Indonesia dalam menangani bank gagal serta perlindungan hukum bagi nasabahnya. Metode penelitian yang digunakan adalah penelitian hukum normatif. Adapun pendekatan penelitian menggunakan pendekatan perundang-undangan dan pendekatan konseptual. Hasil penelitian ini menunjukkan bahwa Bank Indonesia dalam menangani bank gagal sudah diserahkan kepada LPS, meskipun demikan Bank Indonesia masih mempunyai kewenangan sebagai LPP sebagaimana diatur dalam ketentuan Pasal (1) Angka 3 UULPS Nomor 24 Tahun 2004 dan Bank Indonesia sebagai anggota KK berwenang memutuskan kebijakan penyelesaian dan penanganan bank gagal sebagaimana diatur dalam Ketentuan Pasal (1) Angka 9 UULPS Nomor 24 Tahun 2004, serta Bank Indonesia mempunyai kewenangan terkait perlindungan hukum terhadap nasabah penyimpan walaupun tidak diatur secara jelas, namun perlindungan yang diberikan adalah perlindungan secara tidak langsung. Selanjutnya, perlindungan nasabah penyimpan seluruhnya diserahkan kepada LPS dengan menjamin simpanan dana nasabah dengan cara membayar klaim penjamin kepada nasabah paling banyak sebesar Rp.2.000.000.000,00 (dua miliar rupiah). Kata Kunci : Kewenangan Bank Indonesia, Bank gagal, LPS.","ABSTRACT According to Law No. 10 of 1998 concerning Banking, that banks are business entities that raise funds from the public in the form of savings and channeling them to the public in the form of credit and or other forms in order to improve the living standard of the people. The existence of the bank will depend on the existence of public funds because these funds are major funds. Therefore, banks are required to maintain their health using the precautionary principle. If the bank fails, the juridical Bank Indonesia has a legitimacy to take measures to restore the bank to a better condition. Bank Indonesia needs to follow in dealing with failed banks, the extent of the authority of Bank Indonesia in dealing with failing banks and legal protection for its customers. The research method used is a normative legal research. The research approach using regulatory approach and the conceptual approach. Results of this study indicate that Bank Indonesia in dealing with failed banks had submitted to LPS, although demikan Bank Indonesia still has the authority as LPP as stipulated in Article (1) Figures 3 UULPS No. 24 of 2004 and Bank Indonesia as a member of KK settlement authority to decide policy and handling of failed banks as stipulated in the provisions of Article (1) Figures 9 UULPS No. 24 of 2004, Bank Indonesia has the authority as well as related legal protection of depositors, although not clearly regulated, but the protection offered is indirect protection. Furthermore, the protection of depositors wholly submitted to LPS by guaranteeing deposits of customer funds to pay claims by guarantors to the customer the maximum amount of Rp.2.000.000.000, 00 (two billion dollars). Keywords: Authority of Bank Indonesia, Bank fails, LPS."
Hukum,1,Ilmu Hukum,Penegakan Hukum Terhadap Pelanggaran Pemasangan Reklame Di Kabupaten Sampang,Lukmanul Hakim,"Mukhlish. SH.,MH","Indah Cahyani. SH.,MH","Dalam peraturan Bupati pasal 50 nomor 2 tahun 2011 di sebutkan, bahwa pemasangan reklame dapat di bongkar apabila: Tidak memiliki izin, Masa berlaku nya habis, Reklame yang telah terpasang dalam kondisi rusak sehingga menggangu keselamatan dan mengurangi keindahan. Melanggar norma agama, norma kesusilaan. Akan tetapi masih banyak Pelanggaran terkait izin reklame yang dilakukan oleh oleh subyek hukum di Kabupaten Sampang, sehingga pemerintah daerah khususnya dinas pelayanan perijinan dan penanaman modal Kabupaten Sampang beserta instansi terkait harus lebih aktif demi terjaminnya keamanan dan keselamatan pengguna jalan. Hal ini menjadi menarik untuk di teliti terkain penegakan hukum terhadap pelanggaran pemasangan reklame di kabupaten sampang. Metode penelitian yang digunakan adalah Normatif. Adapun pebdekatan masalah yang di gunakan dalam penelian ini adalah statute approach yang di gabungkan dengan case approach. Hasil penelitian ini menunjukkan bahwa penegakan hukum terhadap pelanggaran reklame yang terjadi di kabupaten Sampang tidak berjalan secara efektif, tidak efektifnya penegakan hukum tersebut disebabkan tidak berjalannya system pengawasan terhadap izin pemasangan reklame. Pengawasan adalah merupakan instrumin yuridis administrative yang berfungsi untuk mencegah hal-hal yang berkaitan dengan akan terjadinya pelangaran hukum dibidang pemasangan reklame, penegakan hukum ini di maksudkan agar tercapai ketertiban dan kepatuhan terhadap peraturan yang berlaku dalam perizinan reklame. Selain untuk pembinaan, pengaturan, pengendalian dan pengawasan serta penegakan hukum dan dampak negatif dari pemberian izin dalam rangka melindungi kepentingan umum dan menjaga kelestarian lingkungan serta keindahan kota khusus nya kota sampang, meski dalam penegakan tersebut tidak mudah dan banyak kendala yang harus di hadapi oleh dinas perizinan & penanaman modal Kabupaten Sampang beserta dinas-dinas terkait. Kata kunci: Penegakan Hukum","In Regents regulations article 50 number 2 in 2011 in mention, that the installation of billboards can be dismantled if: It does not have a license, its validity period runs out, the billboards have been installed in a damaged condition so that disturb the safety and reduce the beauty. Violate religious norms, the norms of decency. However, there are many related violations committed by permit billboards by law subject in Sampang regency, so local governments in particular licensing service offices and Sampang investment and its related agencies should be active for the sake of ensuring the security and safety of road users. It becomes interesting to be investigated terkain enforcement against violations lacquer installation of billboards in the district. The research method used is Normative. The pebdekatan problems used in this study presented approach is a statute which in combination with the case approach. These results indicate that the enforcement against violations that occurred in the district billboards Sampang not run effectively, ineffective law enforcement due to the ineffectiveness of the regulatory system to permit installation of billboards. Instrumin judicial oversight is an administrative function to prevent things related to the occurrence of violations of law in the field of installation of billboards, enforcement of this law in order to achieve the intended order and compliance with regulations in permitting billboards. In addition to coaching, regulation, control and supervision as well as law enforcement and the negative impact of licensing in order to protect the public interest and preserving the environment and the beauty of its special lacquercity. Key Words: Law Enforcement"
Hukum,1,Ilmu Hukum,Perlindungan Hukum Pemegang Lisensi Paten Perangkat Lunak,Haidir rahman,"Dr.Djulaeka,SH.,M Hum","Dr. Mufarrijul Ikhwan, SH., M.Hum","Suatu perlindungan paten perangkat lunak akan menjadi satu kesatuan dengan lisensi dan alih teknologi. Selain pemegang paten perangkat lunak, pemegang lisensi paten perangkat lunak juga mendapatkan perlindungan hukum. Belajar dari permasalahan apple melawan Samsung, pemahaman terhadap pendaftaran hak paten perangkat lunak menjadi hal yang sangat penting di zaman ini. Bukan hanya pendaftaran hak paten dan perlindungan paten secara umum melainkan perlindungan paten perangkat lunak dan pentingnya sebuah perjanjian lisensi paten yang mendatangkan nilai ekonomis dalam bentuk royalty. Penelitian ini adalah penelitian hukum normatif dan menggunakan pendekatan perundang-undangan. Hasil dari penelitian ini adalah Perangkat lunak pada dasarnya bisa diberikan perlindungan paten, bukan hanya hak cipta karena hak cipta dianggap belum mampu untuk mengantisipasi terjadinya penjiplakan terhadap perangkat lunak. Pemegang paten perangkat lunak memperoleh hak monopoli untuk menguasai paten perangkat lunak tersebut. Hak monopoli tersebut menjadikan pemegang paten memperoleh keuntungan dari peralihan hak melalui lisensi. Suatu lisensi harus dicatatkan dan diumumkan di dirjen HKI untuk mendapatkan perlindungan hukum dari perjanjian lisensi yang telah dibuat.","Abstract a patent protection software will into one whole by license and technology transfer. Besides holders patent the software license holder of a patent software also get legal protection. Learn from problems apple against samsung, understanding about registration patent software are important in this generation. Not just registration a patent and patent protection in general but patent protection software and importance a treaty license patent that brings the economic value in the royalty. This research is research law normative and use approach of legislation. The result of this research is software basically could be given the patent protection, not just copyright because copyright is considered not capable of to anticipate cribbing against the software. Holders patent software monopoly obtain the right to master patent war"
Hukum,1,Ilmu Hukum,PERBANDINGAN PERLINDUNGAN HUKUM BAGI SAKSI PELAPOR (WHISTLEBLOWER) DALAM PERKARA TINDAK PIDANA KORUPSI,Johan Pratama Putra,"Dr. Eny Suastuti, SH.,MHum","Dr. Wartiningsih., SH.,MHum","Masalah korupsi seakan-akan telah menjadi penyakit yang sangat kronis dan menjadi permasalahan yang turun-temurun. Korupsi dalam kenyataannya merupakan extraordinary crime, sehingga diperlukan extraordinary treatment untuk memberantasnya. Perdebatan dalam pemberantasan korupsi, akhir-akhir ini sering terdengar istilah whistleblower sebagai salah satu pendekatan proses pemberantasan tindak pidana korupsi. Kehadiran whistleblower sangat dibutuhkan dalam upaya pemberantasan tindak pidana korupsi di Indonesia mengingat betapa sulitnya aparat penegak hukum dalam memberantas korupsi. Sampai saat ini perlindungan dalam bentuk penghargaan terhadap seorang whistleblower di Indonesia belum ada suatu peraturan perundang-undangan yang mengatur secara khusus tentang whistleblower. Pengaturan perlindungan terhadap seorang whistleblower di Indonesia hanya berpedoman kepada Undang-undang Nomor 13 Tahun 2006 tentang Perlindungan Saksi dan Korban, dan SEMA Nomor 4 Tahun 2011 tentang Perlakuan Bagi Pelapor Tindak Pidana (whistleblower) dan Saksi Pelaku yang Bekerja Sama (justice collaborator).","The problem of corruption as if it has become a very chronic disease and a hereditary problem. Corruption in fact an extraordinary crime, requiring extraordinary treatment to eradicate it. Debate in fighting corruption, lately often heard the term whistleblower as one approaches the process of eradication of corruption. Whistleblower presence is needed in efforts to eradicate corruption in Indonesia given how difficult law enforcement agencies in combating corruption. Until recently in the form of protection against a whistleblower award in Indonesia has not been any legislation that specifically regulates whistleblower. Setting against a whistleblower protection in Indonesia is only guided by the Law No. 13 Year 2006 on the Protection of Witnesses and Victims, and SEMA No. 4 of 2011 on Treatment For Crime Reporting (whistleblower) and Actors Cooperating Witness (justice collaborator)."
Hukum,1,Ilmu Hukum,STUDI TINDAK PIDANA PENCEMARAN LINGKUNGAN DI LOKASI PEMBUANGAN SAMPAH SEMENTARA TAMBAK REJO SURABAYA,Angga Indraswara,"Dr. Wartiningsih, SH, M.Hum.","Gatoet Poernomo, S.H., M.Hum.","Penulisan skripsi ini dilatar belakangi oleh adanya penumpukan sampah yang melebihi kapasitas di LPS Tambak Rejo Kota Surabaya sehingga menimbulkan bau yang tidak sedap di sekitar LPS. Oleh karena itu penelitian ini dapat ditarik rumusan masalah yaitu untuk mengetahui apakah pembuangan sampah di LPS Tambak Rejo Kota Surabaya telah mengakibatkan pencemaran lingkungan dan siapakah yang harus bertanggungjawab terhadap pencemaran lingkungan di LPS Tambak Rejo Surabaya. Skripsi ini merupakan penelitian hukum empiris, dengan pendekatan kualitatif, dan menggunakan data primer, data sekunder dan data tersier yang diperoleh melalui observasi, wawancara dan studi pustaka kemudian dianalisis menggunakan analisis data kualitatif. Berdasarkan hasil penelitian dan pembahasan maka diketahui bahwa di LPS Tambak Rejo Kota Surabaya telah mengakibatkan pencemaran lingkungan dan yang harus bertanggungjawab atas pencemaran lingkungan tersebut adalah Badan Lingkungan Hidup Kota Surabaya, Dinas Kebersihan dan Pertamanan Kota Surabaya , petugas sampah di LPS Tambak Rejo Kota Surabaya dan masyarakat yang berprofesi sebagai pemulung. Kata kunci : pencemaran, lingkungan, sampah","This thesis background by the buildup of waste that exceeds the capacity of LPS Tambak Rejo in Surabaya City causing a bad odor around the LPS. Therefore this study can be drawn formulation of the problem is to determine whether the waste disposal in the LPS Tambak Rejo Surabaya City have resulted in environmental pollution and who should be responsible for environmental pollution in LPS Tambak Rejo Surabaya. This thesis is an empirical legal research, with a qualitative approach, and using the data of primary, tertiary and secondary data obtained through observation, interviews, and literature and then analyzed using qualitative data analysis. Based on the results of research and discussion, it is known that in LPS Tambak Rejo Surabaya has resulted in environmental pollution and to be responsible for the environmental pollution is the Environment Agency in Surabaya, Department of Hygiene and Surabaya, garbage worker in LPS Tambak Rejo Surabaya and society who work as scavengers. Keywords: pollution, environment, waste"
